Produto (Descrição - Tamanho/Modelo),Preço Original (R$),Preço PIX (R$),% OFF,URL do produto
AGULHA TUOHY p/ Anestesia 16G X 90MM/18G X 90MM,"14,36","7,29",50%,https://www.rzvet.com.br/acessorios/agulha-peridural-para-anestesia-tuohy-16gx90mm-zor
AGULHA TUOHY p/ Anestesia 20G X 90MM,"56,73","34,04",40%,https://www.rzvet.com.br/agulha-peridural-para-anestesia-tuohy-20gx90mm-zor
AGULHA TUOHY p/ Anestesia 20G X 50MM,"57,3","34,38",40%,https://www.rzvet.com.br/agulha-peridural-para-anestesia-tuohy-20gx50mm-rzvet
AGULHA TUOHY p/ Anestesia 22G X 50MM,"60,16","36,1",40%,https://www.rzvet.com.br/agulha-peridural-para-anestesia-tuohy-22gx50mm-rzvet
MULTI INJETOR LINEAR 3 APLICADORES,189,"113,42",40%,https://www.rzvet.com.br/acessorios/multi-injetor-linear-para-mesoterapia-com-03-aplicadores
BALÃO DE LÁTEX p/ Reinalação 250ML,"52,5","34,13",35%,https://www.rzvet.com.br/balao-de-anestesia-latex-borracha-250ml-500ml-1-litro-2-litros-e-3-litros?variant_id=625
BALÃO DE LÁTEX p/ Reinalação 500ML,"27,2","17,68",35%,https://www.rzvet.com.br/balao-de-anestesia-latex-borracha-250ml-500ml-1-litro-2-litros-e-3-litros?variant_id=625
BALÃO DE LÁTEX p/ Reinalação 1 LITRO,"34,55","22,46",35%,https://www.rzvet.com.br/balao-de-anestesia-latex-borracha-250ml-500ml-1-litro-2-litros-e-3-litros?variant_id=625
BALÃO DE LÁTEX p/ Reinalação 2 LITROS,"39,9","25,94",35%,https://www.rzvet.com.br/balao-de-anestesia-latex-borracha-250ml-500ml-1-litro-2-litros-e-3-litros?variant_id=625
BALÃO DE LÁTEX p/ Reinalação 3 LITROS,"39,9","28,67",35%,https://www.rzvet.com.br/balao-de-anestesia-latex-borracha-250ml-500ml-1-litro-2-litros-e-3-litros?variant_id=625
AGULHA TUOHY p/ Anestesia 17G X 90MM,"13,68","9,08",34%,https://www.rzvet.com.br/agulha-peridural-para-anestesia-tuohy-17gx90mm-procare-aatp17g
AGULHA BLOQUEIO Periférico 21G X 100MM,"173,25",120,31%,https://www.rzvet.com.br/agulha-para-bloqueio-periferico-para-neuroestimulador-21gx100mm
AGULHA BLOQUEIO Periférico 22G X 50MM,"173,25",120,31%,https://www.rzvet.com.br/acessorios/agulhas-para-bloqueio/agulha-para-bloqueio-periferico-para-neuroestimulador-22gx50mm-zor
CATETER VENOSO CENTRAL 4FR/5FR,147,"102,9",30%,https://www.rzvet.com.br/cateter-venoso-central-duplo-lumen
CATETER VENOSO CENTRAL 7FR,"152,25","106,58",30%,https://www.rzvet.com.br/cateter-venoso-central-duplo-lumen?variant_id=643
REANIMADOR MANUAL AMBU,231,"162,75",29%,https://www.rzvet.com.br/reanimador-manual-ambu-infantil-pediatrico-ou-adulto-de-pvc
KIT CABO ECG 03 VIAS + 03 GARRAS,420,"299,25",29%,https://www.rzvet.com.br/equipamentos/cabo-ecg-03-vias-tipo-pino-banana-03-garras-universais
"CÂNULA GATO Nº 03 3,0 A 5,0 KG",115,"86,63",25%,https://www.rzvet.com.br/acessorios/canula-de-intubacao-para-gatos
CÂNULA COELHO Nº 02/Nº 03,115,"86,63",25%,https://www.rzvet.com.br/acessorios/canula-de-intubacao-para-coelhos
ATADURA ELÁSTICA - 5CM,"13,65","10,94",20%,https://www.rzvet.com.br/atadura-elastica-com-patas-varias-cores-5cm-x-4-5metros
ATADURA ELÁSTICA - 10CM,"15,75","12,91",18%,https://www.rzvet.com.br/atadura-elastica-varias-cores-10cm-x-4-5metros